ts,high,low,open,close,change,transaction,next_open
1262563200,29.1,27.8,28.95,28.3,-0.05,1057.0,28.5
1262649600,28.9,27,28.5,27.05,-1.25,613.0,27.05
1262736000,27.6,27.05,27.05,27.2,0.15,311.0,28.3
1262822400,29.1,28.3,28.3,29.1,1.9,2342.0,29.7
1262908800,29.7,27.8,29.7,28.5,-0.6,1655.0,29
1263168000,29.6,28.4,29,28.55,0.05,1191.0,28.55
1263254400,28.95,26.65,28.55,27.6,-0.95,1094.0,27.1
1263340800,28,27.05,27.1,27.9,0.3,630.0,28.2
1263427200,29.85,28.2,28.2,29.85,1.95,2031.0,30.5
1263513600,31.9,30.05,30.5,31.9,2.05,1373.0,33.9
1263772800,34.1,33.6,33.9,34.1,2.2,920.0,36.45
1263859200,36.45,36.45,36.45,36.45,2.35,823.0,38.8
1263945600,38.8,33.9,38.8,34.3,-2.15,3510.0,33.6
1264032000,36.7,33.6,33.6,36.7,2.4,3639.0,36
1264118400,39.25,36,36,39.25,2.55,4481.0,39.5
1264377600,41,36.55,39.5,36.55,-2.7,3698.0,36
1264464000,36.9,34,36,34,-2.55,2068.0,32.65
1264550400,33.4,31.65,32.65,31.65,-2.35,1502.0,32.1
1264636800,33.85,32.1,32.1,33.85,2.2,755.0,33.95
1264723200,36.2,33.95,33.95,35,1.15,4001.0,35
1264982400,35.4,33,35,33.4,-1.6,1257.0,33.7
1265068800,34.8,31.1,33.7,31.1,-2.3,1698.0,31.8
1265155200,33.25,31.3,31.8,33.25,2.15,2150.0,33.3
1265241600,34.4,33.3,33.3,33.3,0.05,1714.0,31.1
1265328000,32.1,31,31.1,31.2,-2.1,1249.0,31.1
1265414400,33,30.35,31.1,32.65,1.45,2027.0,33
1265587200,33.8,32.35,33,32.45,-0.2,1412.0,32.45
1265673600,32.75,31.8,32.45,32.45,0,1079.0,32.95
1265760000,34.7,32.85,32.95,34.7,2.25,2156.0,36.2
1266796800,37.1,35.5,36.2,37.1,2.4,897.0,37.6
1266883200,38.8,36.2,37.6,36.85,-0.25,3154.0,36.7
1266969600,38.5,36.05,36.7,37.15,0.3,2175.0,37.6
1267056000,38.5,36.5,37.6,36.6,-0.55,1855.0,37
1267142400,37.3,34.6,37,35.5,-1.1,1503.0,36
1267401600,36.5,35.5,36,35.9,0.4,1049.0,36.3
1267488000,37.55,36.2,36.3,36.25,0.35,1549.0,36.7
1267574400,37.9,36.5,36.7,36.6,0.35,1839.0,37
1267660800,37.1,35.5,37,35.5,-1.1,1215.0,35.9
1267747200,37.25,35.9,35.9,36.3,0.8,1439.0,36.5
1268006400,37.1,36.2,36.5,36.45,0.15,872.0,36.9
1268092800,38.9,36.45,36.9,38.2,1.75,3567.0,38.9
1268179200,39.5,37.2,38.9,37.6,-0.6,2321.0,37.6
1268265600,37.95,36.8,37.6,36.85,-0.75,1359.0,37.5
1268352000,38.2,36.95,37.5,37.3,0.45,1453.0,37.6
1268611200,38.75,37.3,37.6,37.9,0.6,2792.0,38.4
1268697600,38.4,37.8,38.4,37.8,-0.1,947.0,38.2
1268784000,38.7,37.8,38.2,37.85,0.05,1364.0,38.4
1268870400,39.2,38.05,38.4,38.3,0.45,2225.0,38.7
1268956800,38.8,37.85,38.7,38.15,-0.15,1183.0,38.1
1269216000,38.35,37.1,38.1,37.45,-0.7,1114.0,37.9
1269302400,40.05,37.7,37.9,40.05,2.6,2345.0,41.6
1269388800,42.85,41.6,41.6,42.85,2.8,1618.0,43.7
1269475200,43.75,41.65,43.7,42.25,-0.6,4302.0,42.5
1269561600,45.2,42.3,42.5,45.2,2.95,3528.0,46.5
1269820800,47.55,45.2,46.5,45.65,0.45,4570.0,46.3
1269907200,46.4,44.2,46.3,45.2,-0.45,2642.0,45.6
1269993600,47.55,45.05,45.6,45.2,0,4141.0,45.2
1270080000,45.4,43.2,45.2,43.55,-1.65,2669.0,43.55
1270166400,45.45,43.55,43.55,44.6,1.05,2569.0,45.1
1270512000,45.1,43.7,45.1,43.75,-0.85,1335.0,44.1
1270598400,44.95,43.8,44.1,43.8,0.05,1521.0,43.8
1270684800,45.6,43.5,43.8,44.15,0.35,2373.0,44.55
1270771200,44.7,42.5,44.55,42.8,-1.35,1348.0,42.2
1271030400,42.5,40,42.2,40.9,-1.9,2133.0,40.7
1271116800,40.8,39.8,40.7,40.1,-0.8,895.0,40.3
1271203200,41.5,40.3,40.3,41.4,1.3,773.0,41.8
1271289600,41.9,40.2,41.8,40.25,-1.15,1070.0,40.6
1271376000,41.9,40.6,40.6,41.05,0.8,1935.0,39.8
1271635200,41,38.2,39.8,38.35,-2.7,1203.0,39.2
1271721600,39.6,38.55,39.2,39.1,0.75,782.0,39.4
1271808000,41.8,39.4,39.4,41.8,2.7,1307.0,42.3
1271894400,43.2,41.8,42.3,42.25,0.45,2892.0,42.25
1271980800,43,41.7,42.25,42,-0.25,1686.0,42.6
1272240000,42.75,41,42.6,41.1,-0.9,800.0,41.6
1272326400,42.3,41.1,41.6,41.15,0.05,751.0,39
1272412800,40.8,39,39,40.5,-0.65,666.0,40.95
1272499200,41.75,40.6,40.95,41,0.5,753.0,41.2
1272585600,41.6,38.5,41.2,38.8,-2.2,990.0,38.6
1272844800,39.45,38,38.6,38,-0.8,603.0,38.5
1272931200,39.1,38.2,38.5,38.3,0.3,650.0,37.1
1273017600,37.7,35.65,37.1,35.75,-2.55,879.0,35.3
1273104000,35.6,33.25,35.3,33.5,-2.25,821.0,31.2
1273190400,33.5,31.2,31.2,33.5,0,1048.0,33.5
1273449600,35.8,33.4,33.5,35.8,2.3,880.0,37.4
1273536000,38,36.7,37.4,37.3,1.5,1781.0,37.3
1273622400,37.75,36.2,37.3,36.45,-0.85,686.0,37.2
1273708800,39,36.7,37.2,38.6,2.15,2190.0,37.6
1273795200,38.35,37.5,37.6,38.2,-0.4,825.0,37
